long,lat
-122.298657,47.663771
-122.246193,47.755504
-120.241485,47.454995
-122.116674,47.363112
-122.151342,47.560192
-122.874042,46.998873
-122.203169,47.619011
-122.261321,47.390601
-122.227707,47.943014
-122.010741,47.506838
-122.818016,48.080229
-122.34619,47.615293
-121.92791,47.853585
-122.658901,47.466778
-122.303604,47.716244
-122.724682,47.57271
-122.990497,46.618425
-122.249664,47.497442
-122.143231,47.611666
-122.204248,47.719278
-122.137386,47.444808
-122.343983,47.739969
-121.819086,47.539931
-119.778593,46.733466
-122.534497,47.643688
-122.029605,47.939428
-122.370159,47.743354
-122.204248,47.719278
-122.342773,48.49381
-122.143231,47.611666
-122.355669,48.416422
-122.122018,47.678465
-122.354954,47.537664
-122.028168,47.586173
-122.116674,47.363112
-122.197147,47.757791
-117.255497,47.644296
-122.508465,45.670446
-122.148214,47.292978
-121.561247,47.859677
-122.168422,47.614824
-122.148057,48.060301
-122.308752,48.21817
-122.297534,47.685291
-122.774081,47.267339
-122.02812,47.393554
-122.122018,47.678465
-121.363416,48.596974
-123.092863,48.056267
-122.085999,48.016305
-122.014191,47.559121
-122.203169,47.619011
-122.357206,47.501207
-122.374864,47.548552
-122.469161,47.415443
-122.122018,47.678465
-122.122018,47.678465
-122.045204,48.19401
-122.333046,47.829439
-122.80237,47.02499
-122.343577,47.672491
-122.170798,47.184615
-117.270633,47.806385
-122.303413,47.61065
-122.473127,48.184535
-122.045204,48.19401
-122.313367,47.310006
-122.590961,47.532193
-122.275593,47.54055
-122.204248,47.719278
-122.438132,48.029812
-122.168422,47.614824
-120.43121,47.03041
-122.024951,47.670286
-122.535237,47.227719
-122.057522,47.749161
-122.346385,47.630685
-122.508465,45.670446
-122.122018,47.678465
-122.379354,47.687571
-119.830891,47.164101
-118.342366,46.081666
-122.014191,47.559121
-122.781876,47.089772
-122.296466,47.631708
-122.296466,47.631708
-122.480106,47.211446
-122.493388,48.74995
-120.730403,47.749932
-122.298657,47.663771
-122.514741,48.400842
-122.308752,48.21817
-122.781876,47.089772
-122.227947,47.565443
-122.454718,48.801538
-118.342366,46.081666
-122.283685,46.882069
-120.336499,47.425146
-122.623208,47.590898
-117.481417,47.949511
-122.197147,47.757791
-122.02812,47.393554
-122.354954,47.537664
-122.343983,47.739969
-122.122018,47.678465
-122.203169,47.619011
-122.246193,47.755504
-123.011746,46.173162
-122.303604,47.716244
-122.132064,47.759381
-122.122018,47.678465
-117.505436,47.633834
-122.312071,47.395276
-122.2016,47.447869
-122.328611,47.602601
-122.028168,47.586173
-122.188994,47.678406
-122.399558,47.648651
-122.324308,47.149041
-122.266685,47.308313
-122.818016,48.080229
-122.297534,47.685291
-122.10812,47.838517
-122.686329,45.713105
-122.203169,47.619011
-122.379354,47.687571
-122.010741,47.506838
-122.343577,47.672491
-122.297534,47.685291
-122.534497,47.643688
-120.617234,46.746828
-122.148057,48.060301
-122.132064,47.494834
-122.297534,47.685291
-122.362029,47.308531
-122.042724,47.623594
-122.519414,45.630173
-122.62505,45.640901
-122.246193,47.755504
-122.346385,47.630685
-122.534497,47.643688
-122.010741,47.506838
-122.303324,47.756486
-122.227947,47.565443
-122.706401,48.056011
-122.493388,48.74995
-122.281856,47.811678
-122.534497,47.643688
-122.288044,47.02748
-122.62505,45.640901
-122.117365,47.609515
-122.148057,48.060301
-122.143231,47.611666
-122.502574,47.262788
-119.282747,46.129715
-122.612932,47.300296
-122.266367,47.863478
-122.183961,47.510245
-122.183961,47.510245
-122.535237,47.227719
-122.346385,47.630685
-122.321062,47.103797
-122.203169,47.619011
-122.287614,47.83874
-122.188994,47.678406
-122.188994,47.678406
-122.196448,47.40561
-122.306552,47.792041
-122.510748,45.603727
-122.028168,47.586173
-122.212105,47.792368
-122.414936,48.709388
-122.534497,47.643688
-122.117365,47.609515
-122.333046,47.829439
-122.168422,47.614824
-122.250701,48.368138
-122.028168,47.586173
-122.188994,47.678406
-122.354113,47.236119
-122.132064,47.759381
-122.303413,47.61065
-122.19615,47.894423
-122.624654,47.246271
-122.576308,45.677838
-122.333046,47.829439
-121.991415,47.199452
-122.30251,47.488635
-122.80237,47.02499
-122.024951,47.670286
-122.296466,47.631708
-122.201515,47.843376
-122.057522,47.749161
-122.122018,47.678465
-121.668459,47.426482
-122.308752,48.21817
-122.19615,47.894423
-122.151342,47.560192
-122.343577,47.672491
-122.151342,47.560192
-119.913437,46.258706
-122.287614,47.83874
-122.303413,47.61065
-122.132064,47.759381
-122.168422,47.614824
-122.297534,47.685291
-122.320103,47.197193
-122.354954,47.537664
-122.30033,47.585339
-122.028168,47.586173
-122.057522,47.749161
-122.508465,45.670446
-122.656803,45.682725
-122.362029,47.308531
-122.80237,47.02499
-122.275593,47.54055
-122.275593,47.54055
-122.132064,47.759381
-122.924946,48.657249
-122.196448,47.40561
-122.014191,47.559121
-122.303604,47.716244
-122.188994,47.678406
-122.599454,47.36582
-122.117365,47.609515
-122.379354,47.687571
-122.391603,47.067846
