station_id,charging_status,latitude,longtitude,address,zip_code,outlet_counts
145764,TRUE,47.6249212,-122.5193398,232-240 Winslow Way E,98110,1
145763,TRUE,47.6246042,-122.3593182,200 West Mercer Street,98119,1
145762,TRUE,47.62419,-122.5175091,343 Winslow Way E,98110,1
145761,TRUE,47.62289,-122.185723,1231 116th Ave NE,98004,1
145760,TRUE,47.622046,-122.321607,401 Broadway E,98102,1
145759,TRUE,47.6207931,-122.1924689,11101 NE 12th St,98004,1
145758,TRUE,47.620663,-122.329521,222 Yale Ave N,98109,3
145756,TRUE,47.619989,-122.190555,1100 112th Ave NE,98004,1
145755,TRUE,47.619775,-122.331111,221 Yale Ave N,98109,1
145754,TRUE,47.619075,-122.359573,101 Elliott Avenue West,98121,1
145753,TRUE,47.617712,-122.337994,2200 Westlake Ave,98121,1
145752,TRUE,47.6166344,-122.3495259,225 Cedar Street,98121,1
145751,TRUE,47.6154894,-122.3110069,1600 East Madison Street,98122,1
145750,TRUE,47.614102,-122.034147,510 228th Ave NE,98074,1
145748,TRUE,47.613457,-122.321919,1406 Harvard Ave,98122,2
145747,TRUE,47.612834,-122.178704,330 120th Ave NE,98005,1
145746,TRUE,47.611815,-122.178134,150 120th Ave NE,98005,1
145745,TRUE,47.6116369,-122.2105964,9899 Lake Washington Blvd NE,98004,1
145744,TRUE,47.611519,-122.182197,"11900 NE 1st Street, Building G",98007,1
145743,TRUE,47.611502,-122.201257,110 Bellevue Way NE,98004,1
145741,TRUE,47.6113722,-122.343703,2025 1st Avenue,98121,1
145740,TRUE,47.609162,-122.326222,1012 Terry Ave,98101,1
145739,TRUE,47.60636,-122.321639,515 Minor Ave,98104,1
145738,TRUE,47.605477,-122.323427,908 Jefferson,98104,1
145737,TRUE,47.604115,-122.332907,214 Columbia St,98104,1
145736,TRUE,47.6039634,-122.3241159,325 9th Avenue,98104,1
145735,TRUE,47.603663,-122.320148,207 Boren Ave,98109,1
145734,TRUE,47.6034418,-122.3339101,719 Second Ave,98104,1
145733,TRUE,47.602677,-122.327402,415 6th Ave S,98104,1
145731,TRUE,47.59878,-122.330837,201 S Jackson St,98104,1
145730,TRUE,47.5987016,-122.3351902,450 Alaskan Way,98104,1
145729,TRUE,47.597953,-122.333068,530 Occidental Ave S,98104,1
145728,TRUE,47.5976,-122.142,1424 148th Ave SE,98007,1
145727,TRUE,47.5974244,-122.3347174,505 1st Avenue South,98104,1
145726,TRUE,47.5953921,-122.3115066,807 Rainier Ave S,98144,1
145724,TRUE,47.5892477,-122.3358112,1531 Utah Avenue South,98134,1
145723,TRUE,47.5881215,-122.2372058,2430 76th Ave SE,98040,1
145722,TRUE,47.59011676,-117.5655571,10810 W Westbow Rd,99224,1
145721,TRUE,47.585655,-122.147284,3000 Landerholm Cir SE,98007,1
145720,TRUE,47.58495,-122.15043,3036 Snoqualmie River Road,98005,2
145719,TRUE,47.584831,-122.235771,2755 77th Ave SE,98040,2
145718,TRUE,47.584564,-122.13685,15325 SE 30th Pl,98007,1
145717,TRUE,47.583103,-122.033895,3016 Issaquah-Pine Lake Rd SE,98075,1
145716,TRUE,47.580655,-122.143364,14762 SE Eastgate Way,98007,1
145715,TRUE,47.5806355,-122.1564536,13810 Southeast Eastgate Way,98005,1
145714,TRUE,47.579872,-122.135431,3245 158th Ave SE,98008,1
145713,TRUE,47.575355,-122.634233,1600 Chester Ave,98337,1
145711,TRUE,47.5713857,-122.1648077,13180 SE Newport Way,98006,1
145710,TRUE,47.571235,-122.327878,409 South Spokane Street,98134,3
145708,TRUE,47.56825,-122.66705,3929 Kitsap Way,98312,2
145707,TRUE,47.567585,-122.640714,1546 6th St,98337,1
145706,TRUE,47.563229,-122.646326,120 S Dewey St,98315,2
145702,TRUE,47.55761736,-122.3311812,210 South Hudson Street,98134,1
145701,TRUE,47.55,-122.64,1400 Farragut Ave,98314,2
145700,TRUE,47.5450748,-122.0089108,1460 NE Hawthorne Street,98029,1
145697,TRUE,47.542153,-121.836634,6501 Railroad Avenue SE,98065,1
145696,TRUE,47.541874,-122.052032,755 NW Gillman Blvd.,98027,3
145695,TRUE,47.5373611,-122.6389133,614 Divison Street,98366,1
145694,TRUE,47.5368996,-122.3034973,7277 Perimeter Road King County Airport Acrd,98108,1
145693,TRUE,47.5365604,-122.0205442,"580 8th Ave., NE",98029,1
145692,TRUE,47.536237,-122.0220539,751 N.E. Blakely Drive,98027,1
145691,TRUE,47.5349155,-122.0375524,485 Rainier Blvd N,98027,1
145690,TRUE,47.5326,-121.87315,35018 SE Ridge Street,98065,1
145687,TRUE,47.522914,-122.393658,9105 Fauntleroy Way SW,98136,1
145681,TRUE,47.502354,-122.34112,11195 5th Ave SW,98146,1
145680,TRUE,47.497292,-122.199295,1215 N Landing Way,98057,3
145679,TRUE,47.491288,-121.793559,461 S. Fork Avenue,98045,2
145678,TRUE,47.490084,-122.17574,3000 NE 4th St,98056,1
145676,TRUE,47.481246,-122.20848,655 South 2nd St,98057,1
145675,TRUE,47.477362,-122.215347,440 Rainier Ave South,98057,1
145674,TRUE,47.474171,-122.224102,550 SW 7th St,98057,1
145673,TRUE,47.465555,-123.850735,345 S Shore Rd,98575,1
145672,TRUE,47.4654,-122.220917,1601 East Valley Rd,98057,1
145671,TRUE,47.4611115,-122.242316,Longacres Way,98188,1
145669,TRUE,47.459988,-122.259089,500 Southcenter Mall,98188,1
145668,TRUE,47.455854,-122.232867,1200 SW 27th St,98057,1
